Anglerfish,"Choose one free pet from your last opponent to stock."
Anglerfish,"Choose one free pet from your last opponent to stock thrice."
Anglerfish,"Choose one free pet from your last opponent to stock twice."
"Bird of Paradise","Give three random friends +1 attack and +1 health."
"Bird of Paradise","Give three random friends +2 attack and +2 health."
"Bird of Paradise","Give three random friends +3 attack and +3 health."
Boar,"Gain +12 attack and +6 health."
Boar,"Gain +4 attack and +2 health."
Boar,"Gain +8 attack and +4 health."
Catfish,"Spend 1 gold to activate Buy ability on the nearest friend ahead."
Catfish,"Spend 1 gold to activate Buy ability on the nearest friend ahead. Triggers 2 times. "
Catfish,"Spend 1 gold to activate Buy ability on the nearest friend ahead. Triggers 3 times."
Cat,"Food gives double health and attack. Works 2 times per turn."
Cat,"Food gives quadruple health and attack. Works 2 times per turn."
Cat,"Food gives triple health and attack. Works 2 times per turn."
Cobra,"Deal 20% attack damage to one random enemy."
Cobra,"Deal 40% attack damage to one random enemy."
Cobra,"Deal 60% attack damage to one random enemy."
Dragon,"Give friends +1 attack and +1 health."
Dragon,"Give friends +2 attack and +2 health."
Dragon,"Give friends +3 attack and +3 health."
"Elephant Seal","Give friends +1 attack and +1 health. Double in battle."
"Elephant Seal","Give friends +2 attack and +2 health. Double in battle."
"Elephant Seal","Give friends +3 attack and +3 health. Double in battle."
Fly,"Summon one 12/12 Zombie Fly in its place. Works 3 times per turn."
Fly,"Summon one 4/4 Zombie Fly in its place. Works 3 times per turn."
Fly,"Summon one 8/8 Zombie Fly in its place. Works 3 times per turn."
"German Shepherd","Give 25% of attack to it until end of battle."
"German Shepherd","Give 50% of attack to it until end of battle."
"German Shepherd","Give 75% of attack to it until end of battle."
Gorilla,"Gain Coconut 1 time per battle."
Gorilla,"Gain Coconut 2 times per battle."
Gorilla,"Gain Coconut 3 times per battle."
"Grizzly Bear","Deal 12 damage to two random enemies."
"Grizzly Bear","Deal 18 damage to two random enemies."
"Grizzly Bear","Deal 6 damage to two random enemies."
Hammershark,"If this has a level 3 friend, gain +3 gold."
Hammershark,"If this has a level 3 friend, gain +6 gold."
Hammershark,"If this has a level 3 friend, gain +9 gold."
"Highland Cow","Gain +1 trumpet for each 3 health this has."
