Alpaca,"Give it +1 experience. Works 1 time per turn."
Alpaca,"Give it +1 experience. Works 2 times per turn."
Alpaca,"Give it +1 experience. Works 3 times per turn."
Armadillo,"Give ALL pets +16 health."
Armadillo,"Give ALL pets +24 health."
Armadillo,"Give ALL pets +8 health."
Axolotl,"Give it permanent +1 attack and +1 health."
Axolotl,"Give it permanent +2 attack and +2 health."
Axolotl,"Give it permanent +3 attack and +3 health."
"Beluga Whale","Swallow the left-most shop pet and release it as level 1 after fainting."
"Beluga Whale","Swallow the left-most shop pet and release it as level 2 after fainting."
"Beluga Whale","Swallow the left-most shop pet and release it as level 3 after fainting."
"Blue Ringed Octopus","Give friends +1 attack and +1 health."
"Blue Ringed Octopus","Give friends +2 attack and +2 health."
"Blue Ringed Octopus","Give friends +3 attack and +3 health."
Chicken,"Give future shop pets permanent +1 attack and +1 health."
Chicken,"Give future shop pets permanent +2 attack and +2 health."
Chicken,"Give future shop pets permanent +3 attack and +3 health."
Cockatoo,"Give three random Faint friends +2 attack and +1 health."
Cockatoo,"Give three random Faint friends +4 attack and +2 health."
Cockatoo,"Give three random Faint friends +6 attack and +3 health."
Cow,"Replace food shop with 2 free Milk that gives +1 attack and +2 health."
Cow,"Replace food shop with 2 free Milk that gives +2 attack and +4 health."
Cow,"Replace food shop with 2 free Milk that gives +3 attack and +6 health."
Crane,"Give it Melon Perk and +5 attack. Works 1 time per turn."
Crane,"Give it Melon Perk and +5 attack. Works 2 times per turn."
Crane,"Give it Melon Perk and +5 attack. Works 3 times per turn."
Crocodile,"Deal 8 damage to the last enemy."
Crocodile,"Deal 8 damage to the last enemy. Triggers 2 times."
Crocodile,"Deal 8 damage to the last enemy. Triggers 3 times."
Eagle,"Summon one 10/10 level 2 pet from the next shop tier."
Eagle,"Summon one 15/15 level 3 pet from the next shop tier."
Eagle,"Summon one 5/5 level 1 pet from the next shop tier."
Emu,"Push nearest friend ahead to the front and give it +12 health in battle."
Emu,"Push nearest friend ahead to the front and give it +4 health in battle."
Emu,"Push nearest friend ahead to the front and give it +8 health in battle."
"Fire Ant","Give attack to one random friend."
"Fire Ant","Give attack to three random friends."
"Fire Ant","Give attack to two random friends."
Fox,"Steal one random shop food."
Fox,"Steal one random shop food and double its attack and health effects."
Fox,"Steal one random shop food and triple its attack and health effects."
Goat,"Gain +1 gold. Works 2 times per turn."
Goat,"Gain +2 gold. Works 2 times per turn."
Goat,"Gain +3 gold. Works 2 times per turn."
Hamster,"Gain +1 gold. Works 2 times per turn."
Hamster,"Gain +1 gold. Works 4 times per turn."
Hamster,"Gain +1 gold. Works 6 times per turn."
Hyena,"Shuffle positions of all pets."
Hyena,"Swap attack and health and shuffle positions of all pets."
Hyena,"Swap attack and health of all pets."
Lion,"If this is your highest tier pet, gain +100% attack and health."
Lion,"If this is your highest tier pet, gain +150% attack and health."
Lion,"If this is your highest tier pet, gain +50% attack and health."
Macaque,"Summon one 12/12 Orangutan with the same food perk as this."
Macaque,"Summon one 24/24 Orangutan with the same food perk as this."
Macaque,"Summon one 36/36 Orangutan with the same food perk as this."
Monkey,"Give right-most friend +2 attack and +3 health."
