Anteater,"Summon two level 1 Ants."
Anteater,"Summon two level 2 Ants."
Anteater,"Summon two level 3 Ants."
Bison,"If this has a level 3 friend, gain +1 attack and +2 health."
Bison,"If this has a level 3 friend, gain +2 attack and +4 health."
Bison,"If this has a level 3 friend, gain +3 attack and +6 health."
Blowfish,"Deal 3 damage to one random enemy."
Blowfish,"Deal 6 damage to one random enemy."
Blowfish,"Deal 9 damage to one random enemy."
Buffalo,"Gain +2 attack and +2 health."
Buffalo,"Gain +4 attack and +4 health."
Buffalo,"Gain +6 attack and +6 health."
Caterpillar,"Gain +1 experience."
Caterpillar,"Transform into a Butterfly and copy stats of the strongest enemy."
Chameleon,"Activate friendly toy ability as level 1."
Chameleon,"Activate friendly toy ability as level 2."
Chameleon,"Activate friendly toy ability as level 3."
Crow,"Stock one Best Chocolate."
Crow,"Stock one Better Chocolate."
Crow,"Stock one Chocolate."
Cuttlefish,"Give the last enemy Ink."
Cuttlefish,"Give the last three enemies Ink."
Cuttlefish,"Give the last two enemies Ink."
Deer,"Summon one 10/10 Bus with Chili."
Deer,"Summon one 15/15 Bus with Chili."
Deer,"Summon one 5/5 Bus with Chili."
Doberman,"If this is your lowest tier pet, gain Coconut Perk and +16 attack."
Doberman,"If this is your lowest tier pet, gain Coconut Perk and +24 attack."
Doberman,"If this is your lowest tier pet, gain Coconut Perk and +8 attack."
Donkey,"Push the last enemy to the front. Works 1 time per battle."
Donkey,"Push the last enemy to the front. Works 2 times per battle."
Donkey,"Push the last enemy to the front. Works 3 times per battle."
Dragonfly,"Give +1 attack and +1 health to one friend of each level."
Dragonfly,"Give +2 attack and +2 health to one friend of each level."
Dragonfly,"Give +3 attack and +3 health to one friend of each level."
Eel,"Gain 100% health."
Eel,"Gain 150% health."
Eel,"Gain 50% health."
"Egyptian Vulture","Activate Faint ability on the nearest friend behind. Works 1 time a turn."
"Egyptian Vulture","Activate Faint ability on the nearest friend behind. Works 2 times a turn."
"Egyptian Vulture","Activate Faint ability on the nearest friend behind. Works 3 times a turn."
Falcon,"Summon one 3/3 level 1 copy of it. Works 3 times per battle."
Falcon,"Summon one 3/3 level 2 copy of it. Works 3 times per battle."
Falcon,"Summon one 3/3 level 3 copy of it. Works 3 times per battle."
Gharial,"Choose one level 1 toy from tier 4."
Gharial,"Choose one level 2 toy from tier 4."
Gharial,"Choose one level 3 toy from tier 4."
Hawk,"Deal 14 damage to the opposite enemy."
Hawk,"Deal 21 damage to the opposite enemy."
Hawk,"Deal 7 damage to the opposite enemy."
Hippo,"Gain +3 attack and +3 health."
Hippo,"Gain +6 attack and +6 health."
Hippo,"Gain +9 attack and +9 health."
Jerboa,"Give friends +1 attack and +1 health. Works 2 times per turn."
Jerboa,"Give friends +2 attack and +2 health. Works 2 times per turn."
Jerboa,"Give friends +3 attack and +3 health. Works 2 times per turn."
Llama,"If there in an empty space, gain +1 attack and +2 health."
Llama,"If there in an empty space, gain +2 attack and +4 health."
Llama,"If there in an empty space, gain +3 attack and +6 health."
Lobster,"If outside battle, gain +2 attack and +2 health."
Lobster,"If outside battle, gain +4 attack and +4 health."
Lobster,"If outside battle, gain +6 attack and +6 health."
Lynx,"Deal damage to one random enemy equal to the sum of all friendly levels."
Lynx,"Deal damage to three random enemies equal to the sum of all friendly levels."
Lynx,"Deal damage to two random enemies equal to the sum of all friendly levels."
Manatee,"Take 5 damage and give the nearest friend ahead +2 attack and +1 health."
Manatee,"Take 5 damage and give the nearest friend ahead +4 attack and +2 health."
Manatee,"Take 5 damage and give the nearest friend ahead +6 attack and +3 health."
"Manta Ray","If there is an empty space, gain +2 gold next turn."
"Manta Ray","If there is an empty space, gain +4 gold next turn."
"Manta Ray","If there is an empty space, gain +6 gold next turn."
Microbe,"Make all pets weak."
name,effect
Orangutan,"Give the lowest health friendly pet +12 health."
Orangutan,"Give the lowest health friendly pet +4 health."
Orangutan,"Give the lowest health friendly pet +8 health."
Parrot,"Copy ability from the nearest pet ahead as level 1 until end of battle."
Parrot,"Copy ability from the nearest pet ahead as level 2 until end of battle."
Parrot,"Copy ability from the nearest pet ahead as level 3 until end of battle."
Pelican,"Give one random Strawberry friend +2 attack and +1 health."
Pelican,"Give one random Strawberry friend +4 attack and +2 health."
